datetime,open,high,low,close,volume,,
01-01-2018 05:30,13715.65,13715.65,13400.01,13529.01,443.356199,01-01-2018 05:30,31-12-2022 05:30
01-01-2018 06:30,13528.99,13595.89,13155.38,13203.06,383.697006,,
01-01-2018 07:30,13203,13418.43,13200,13330.18,429.064572,,
01-01-2018 08:30,13330.26,13611.27,13290,13410.03,420.08703,,
01-01-2018 09:30,13434.98,13623.29,13322.15,13601.01,340.807329,,
01-01-2018 10:30,13615.2,13699,13526.5,13558.99,404.229046,,
01-01-2018 11:30,13539,13800,13510,13780.41,264.989684,,
01-01-2018 12:30,13780,13818.55,13555.02,13570.35,292.188777,,
01-01-2018 13:30,13569.98,13735.24,13400,13499.99,271.813553,,
01-01-2018 14:30,13499.97,13670,13459.11,13616.99,213.095829,,
01-01-2018 15:30,13632,13657.92,13497.98,13570.01,169.512196,,
01-01-2018 16:30,13573,13589.89,13001.13,13220.56,665.334353,,
01-01-2018 17:30,13220.56,13300,13056.23,13172.42,260.492708,,
01-01-2018 18:30,13150.05,13200.41,12815.7,13017,451.901126,,
01-01-2018 19:30,12999.71,13245,12750,13211.39,692.467362,,
01-01-2018 20:30,13211.39,13330,13120.38,13247,427.071957,,
01-01-2018 21:30,13247,13247.08,12966.42,13018,367.393566,,
01-01-2018 22:30,13018,13198.98,13000,13022,228.572028,,
01-01-2018 23:30,13007.87,13256.28,12940,13135,244.366755,,
02-01-2018 00:30,13135,13290.65,13106.61,13240.37,252.004885,,
02-01-2018 01:30,13222.03,13472,13222.03,13399.24,412.026868,,
02-01-2018 02:30,13399.23,13580.67,13380.82,13481.01,326.923135,,
02-01-2018 03:30,13494.99,13599.7,13450.96,13452,303.301385,,
02-01-2018 04:30,13455.24,13500,13355.01,13380,345.218495,,
02-01-2018 05:30,13382.16,13850,13382.16,13750.01,466.596114,,
02-01-2018 06:30,13769.98,13800,13590,13600,517.461925,,
02-01-2018 07:30,13611.93,13678.33,13398,13522,714.534781,,
02-01-2018 08:30,13520.32,13539.98,13231.96,13353.78,666.940106,,
02-01-2018 09:30,13353.78,13480.84,12890.02,13127.31,992.418927,,
02-01-2018 10:30,13129.03,13244.99,13090.7,13166.95,600.002711,,
02-01-2018 11:30,13166.95,13338.66,13041.5,13255.98,722.310035,,
02-01-2018 12:30,13256.07,13359.98,13150,13343,665.58438,,
02-01-2018 13:30,13343.01,13440,13302.59,13326.09,745.643663,,
02-01-2018 14:30,13342.97,13523.46,13326.1,13452,511.54277,,
02-01-2018 15:30,13460,13617.28,13401.6,13560,654.454591,,
02-01-2018 16:30,13566.5,13573,13401.05,13490,684.54165,,
02-01-2018 17:30,13490,13590,13450.46,13489.04,671.205943,,
02-01-2018 18:30,13489.04,13875,13470.41,13864.98,1036.83633,,
02-01-2018 19:30,13864.95,13894.86,13630,13664.4,705.180727,,
02-01-2018 20:30,13661.21,13739.89,13510,13690.03,952.656508,,
02-01-2018 21:30,13690.02,13842.88,13584.99,13590.02,1020.856756,,
02-01-2018 22:30,13599.99,13799.65,13503,13780,817.501105,,
02-01-2018 23:30,13789.98,14750,13755.43,14580,1573.60355,,
03-01-2018 00:30,14576.87,15473.49,14480,14732.75,1678.312072,,
03-01-2018 01:30,14710.02,15160.31,14710,14751,1150.528492,,
03-01-2018 02:30,14751,14944.99,14544,14692.4,906.843821,,
03-01-2018 03:30,14700,15025,14685.01,14799.96,858.185273,,
03-01-2018 04:30,14799.97,14887.08,14600,14675.11,764.349881,,
03-01-2018 05:30,14690,14926.22,14660,14774.53,661.468616,,
03-01-2018 06:30,14758.01,14853.53,14660,14820,788.317514,,
03-01-2018 07:30,14847.97,15119.9,14744.99,15008.07,822.858852,,
03-01-2018 08:30,15008.07,15299.99,14750,14818.49,1031.188608,,
03-01-2018 09:30,14805.81,15117.56,14795.05,15019.66,781.021342,,
03-01-2018 10:30,15031.01,15114.98,14900,14988,860.383177,,
03-01-2018 11:30,14980.89,15276.13,14858.01,15242.63,908.687696,,
03-01-2018 12:30,15242.64,15307.56,15130.24,15170,661.609852,,
03-01-2018 13:30,15170,15172.99,14900,15002.59,895.934758,,
03-01-2018 14:30,15002.59,15048,14440,14519.99,1241.904776,,
03-01-2018 15:30,14501.05,14855,14150,14455.55,1271.034018,,
03-01-2018 16:30,14455.55,14771.84,14200,14730.05,793.92939,,
03-01-2018 17:30,14764.73,14799,14400.04,14450,614.534955,,
03-01-2018 18:30,14469,14890,14401.07,14855.02,380.592932,,
03-01-2018 19:30,14859.98,15045.51,14758,14790.11,581.690557,,
03-01-2018 20:30,14812.97,15033.77,14790.13,15033.77,505.915681,,
03-01-2018 21:30,15045,15130,14901.93,15010.06,477.866959,,
03-01-2018 22:30,15011,15057.2,14779.83,14800,389.080093,,
03-01-2018 23:30,14800,14899.86,14697.99,14749.97,430.999286,,
04-01-2018 00:30,14710,14846.13,14671,14700.01,361.751015,,
04-01-2018 01:30,14700.01,14950,14683,14926.01,343.677881,,
04-01-2018 02:30,14939.11,14990,14830,14926.96,191.636316,,
04-01-2018 03:30,14926.96,14949,14799.64,14799.91,260.659165,,
04-01-2018 04:30,14792.32,14940.82,14710,14919.51,648.9242,,
04-01-2018 05:30,14919.51,14948,14710.25,14753.76,820.84674,,
04-01-2018 06:30,14765.65,15179,14649.99,15172.12,1181.627263,,
04-01-2018 07:30,15175,15280,15059,15110.9,1055.426462,,
04-01-2018 08:30,15110.9,15119.98,15110.9,15119.97,4.635181,,
04-01-2018 10:30,15119.97,15119.97,14730,14875.1,888.843951,,
04-01-2018 11:30,14890,15100,14850.01,14899.01,867.618392,,
04-01-2018 12:30,14899.01,14900,14685,14748,1083.438099,,
04-01-2018 13:30,14734.07,14800,14211.69,14221.05,1207.568042,,
04-01-2018 14:30,14221.05,14410.05,13918.04,14299.01,1121.48775,,
04-01-2018 15:30,14299.01,14523.94,14214.8,14429,1037.040763,,
04-01-2018 16:30,14427,14571.78,14280,14539.97,973.455496,,
04-01-2018 17:30,14539.99,14653.4,14181.88,14398.97,915.408594,,
04-01-2018 18:30,14398.97,14600.02,14360.01,14518.95,872.818456,,
04-01-2018 19:30,14518.95,14600.8,14404.99,14513.06,962.798872,,
04-01-2018 20:30,14501.05,14534.58,14270.01,14353.01,1209.805263,,
04-01-2018 21:30,14367.99,14494.99,14238.01,14469.97,1129.730622,,
04-01-2018 22:30,14469.97,14648.89,14400.97,14648.89,865.628274,,
04-01-2018 23:30,14648,14864,14630,14811,779.049764,,
05-01-2018 00:30,14805.01,14988,14720.05,14895.19,862.207466,,
05-01-2018 01:30,14905,15011,14722.65,14799.02,1127.962286,,
05-01-2018 02:30,14799.01,14944.97,14733.03,14797.88,707.223774,,
05-01-2018 03:30,14797.89,14979,14601,14939.39,762.293702,,
05-01-2018 04:30,14895.95,15100.08,14774.25,15059.54,892.734362,,
05-01-2018 05:30,15059.56,15096.99,14802,14906.01,701.283048,,
05-01-2018 06:30,14908.01,15100,14847.35,15040,922.722973,,
05-01-2018 07:30,15038.04,15200,15038.04,15098.11,985.850712,,
05-01-2018 08:30,15098.12,15180,14642,14965.37,1015.117957,,
05-01-2018 09:30,14970,15083.63,14600,14820.05,947.316775,,
05-01-2018 10:30,14820.05,15038.75,14756,15000,863.362834,,
05-01-2018 11:30,14999,15020,14700,14952.34,779.698664,,
05-01-2018 12:30,14952.34,14979.78,14822.32,14920.14,844.120506,,
05-01-2018 13:30,14916.95,15450,14880,15424.81,949.347149,,
05-01-2018 14:30,15429.6,16111,15429.6,15880.39,1397.016119,,
05-01-2018 15:30,15873.5,16350,15826.37,16138.23,804.132075,,
05-01-2018 16:30,16105.06,16185.65,15869.07,16090.69,1084.829419,,
05-01-2018 17:30,16090.7,16140.09,15762.9,15838,1005.422193,,
05-01-2018 18:30,15838,16199,15750,16093.94,996.320352,,
05-01-2018 19:30,16071.62,16267.04,15901.01,16103.18,991.73917,,
05-01-2018 20:30,16103.18,16170,15980.63,16087.72,787.31932,,
05-01-2018 21:30,16094.99,16500,16087.73,16449,1007.615517,,
05-01-2018 22:30,16449,17118.13,16420,16650,937.578122,,
05-01-2018 23:30,16650,16988,16475.78,16579,1010.442838,,
06-01-2018 00:30,16579,16673,16310,16593.01,1255.478351,,
06-01-2018 01:30,16594.14,16670,16353,16668.36,1068.054734,,
06-01-2018 02:30,16673,16950,16650.01,16799.95,1070.422615,,
06-01-2018 03:30,16799.94,17047.92,16645.24,17021.36,896.537944,,
06-01-2018 04:30,17021.36,17176.24,16801.02,16960.39,929.761738,,
06-01-2018 05:30,16960.39,16999,16677.98,16998,830.785144,,
06-01-2018 06:30,16998,17099.99,16823,17025.03,1103.392744,,
06-01-2018 07:30,17025.03,17073.26,16288,16540.99,1172.708274,,
06-01-2018 08:30,16505.04,16746,16363.1,16521.59,1140.827478,,
06-01-2018 09:30,16521.57,16600.5,16300,16470.09,1030.651665,,
06-01-2018 10:30,16477.49,16750,16422.43,16642.84,471.806854,,
06-01-2018 11:30,16637.82,16719.38,16571.04,16604.99,259.476686,,
06-01-2018 12:30,16600,16605,16415.21,16518,402.045227,,
06-01-2018 13:30,16500.18,16600,16414.55,16440,526.987415,,
06-01-2018 14:30,16439.99,16538.01,16340,16419.96,631.593515,,
06-01-2018 15:30,16419.95,16750.01,16390,16690.2,624.785297,,
06-01-2018 16:30,16690.2,16750.01,16422.63,16529.89,786.638636,,
06-01-2018 17:30,16505.16,16557.36,16151.12,16214.91,926.819037,,
06-01-2018 18:30,16214.92,16372.99,16011.21,16168,891.972764,,
06-01-2018 19:30,16159.69,16488.98,16145,16403.01,889.593692,,
06-01-2018 20:30,16419.99,16639,16335.03,16556.22,928.568326,,
